;0;1;2
0;0;144;127
1;5,58E-05;144;0
2;0;144;127
3;0;144;0
4;0,003984451;224;94
5;3,541685343;224;95
6;0;144;127
7;0;144;0
8;0;224;99
9;3,27063942;224;98
10;0;224;82
11;0,200607061;224;80
12;0;224;64
13;0,204739571;224;63
14;0,001463413;224;46
15;0,233696461;224;45
16;0;224;28
17;0,313750029;224;27
18;0;224;11
19;0,187054157;224;10
20;0,298953056;224;6
21;0;224;22
22;0,179281473;224;23
23;0;224;39
24;0,1841681;224;40
25;0;224;56
26;0,191058874;224;58
27;0;224;74
28;0,158817291;224;75
29;0;224;91
30;0,17519474;224;92
31;0;224;108
32;0,16583395;224;109
33;0,129055977;224;108
34;0,171852589;224;103
35;0,200807571;224;98
36;0,152909517;224;94
37;0,156433105;224;90
38;0,20362711;224;86
39;0,181995392;224;82
40;0,197757721;224;77
41;0,204049349;224;72
42;0,194937229;224;68
43;0,182449818;224;65
44;0,194334269;224;62
45;0,19437623;224;57
46;0,185421944;224;53
47;0,157101631;224;51
48;0,160359144;224;49
49;0,188643456;224;45
50;0,226158857;224;44
51;0,171604156;224;39
52;0,191296816;224;37
53;0,210307837;224;33
54;0,149145603;224;31
55;0,196561575;224;29
56;0,13973999;224;25
57;0,183126211;224;22
58;0,197734594;224;19
59;0,182287455;224;17
60;0,200364113;224;14
61;0,200533152;224;9
62;0,154162645;224;4
63;0,174829245;224;1
64;3,958408117;224;1
65;0;224;17
66;0,3392241;224;18
67;0;224;34
68;0,163972855;224;35
69;0,000813484;224;51
70;0,154267311;224;52
71;0,167812824;224;58
72;0,237597466;224;61
73;0,180886269;224;63
74;0,160165071;224;72
75;0,190285444;224;81
76;0,463615179;224;90
77;0;224;106
78;0,352216721;224;107
79;0;224;121
80;0,289232492;224;122
81;0,436447859;224;126
82;0;224;109
83;0,21738553;224;108
84;0,231321573;224;107
85;0;224;93
86;0,331991673;224;92
87;0;224;75
88;0,222895384;224;74
89;0,000772476;224;57
90;0,146133423;224;56
91;0;224;38
92;0,169007063;224;37
93;0;224;21
94;0,200327396;224;20
95;0;224;3
96;0,150248289;224;2
97;0,18426013;224;1
98;0;224;19
99;0,316500187;224;20
100;0;224;37
101;0,370387793;224;38
102;0;224;55
103;0,315809965;224;56
104;0;224;74
105;0,200457811;224;75
106;0;224;92
107;0,163089275;224;93
108;0;224;110
109;0,183962107;224;111
110;0,182725906;176;2
111;0,060951948;176;2
112;0,070174217;176;2
113;0,060086966;176;2
114;0,044430256;176;2
115;0,052918911;176;2
116;0,076532602;176;2
117;0,048139811;176;2
118;0,018021107;176;2
119;0,059282064;176;2
120;0,036373854;176;2
121;0,08713913;176;2
122;0,124871731;176;2
123;0,061421394;176;2
124;0,06252265;176;2
125;0,06769228;176;2
126;0,047114134;176;63
127;0,055029392;176;63
128;0,06364131;176;63
129;0,032006025;176;63
130;0,066975117;176;63
131;0,056192875;176;63
132;0,077580214;176;63
133;0,067008495;176;63
134;0,055537939;176;63
135;0,094078779;176;63
136;0,05333209;176;63
137;0,035242558;176;63
138;0,066672325;176;63
139;0,078754187;176;63
140;0,061488628;176;63
141;0,046741009;176;63
142;0,0589993;176;66
143;0,073212147;176;66
144;0,050732851;176;66
145;0,034745932;176;66
146;0,054436922;176;66
147;0,077223539;176;66
148;0,079456568;176;66
149;0,061105967;176;66
150;0,070020676;176;66
151;0,058443546;176;66
152;0,06641674;176;66
153;0,035209179;176;66
154;0,035003662;176;66
155;0,021744728;176;66
156;0,024089813;176;2
157;0,017582417;176;2
158;0,027550459;176;2
159;0,041884899;176;2
160;0,075895309;176;2
161;0,052810192;176;2
162;0,055983543;176;2
163;0,051446915;176;2
164;0,04003644;176;2
165;0,092460632;176;2
166;0,062036514;176;2
167;0,062849522;176;2
168;0,071715593;176;2
169;0,051125526;176;2
